,game_id,white_player,black_player,winning_player,move_list
30,8GnRZR4R,ruchitoshniwal1,ANONYMOUS,ANONYMOUS,e4 e5 Nf3 Nc6 Bc4 f6 O-O Nh6 Bf7+ Nxf7 d3 b6 Nc3 Nh6 Nd5 g5 Ne7 Qxe7 h3 Ba6 Bd2 O-O-O Qc1 Qg7 h4 Re8 hxg5 fxg5 Nxe5 Bd6 Bxg5 Qxe5 Bxh6 Qh2#
31,jtexRiF3,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,c4 e5 e3 d6 e4 d5 cxd5 Nc6 Qe2 Bc5 Qb5 Nf6 Qe2 Nxe4 Qxe4 Qf6 Qh4 Qxh4 Nh3 Qe4+ Be2 Bg4 O-O Nd4 Nf4 Nxe2+ Kh1 Nxf4 Rg1 Bxf2 d3 Qxd5 Bxf4 Bxg1 Kxg1 exf4 Kh1 f3 gxf3 Qxf3+ Kg1 O-O Na3 Rfe8 Nb5 Re2 Re1 Qg2#
32,OkM9nhiw,ruchitoshniwal1,ANONYMOUS,ruchitoshniwal1,e4 e5 Bc4 f6 Nf3 Nh6 O-O Ng4 d3 Nc6 Nc3 Nd4 a3
33,mEwYn2MX,ruchitoshniwal1,ANONYMOUS,ANONYMOUS,e4 e5 Nf3 f6 Nxe5 fxe5 Bc4 Bc5 O-O Nf6 d3 h5 Nc3 Rf8 Bf7+ Rxf7 Nd5 c6 Nxf6+ Rxf6 Bd2 Na6 Bh6 Rxh6 a3 Rg6 Qe2 Qg5 b4 Qxg2#
34,oTDWR3Ke,ritutoshniwal,ruchitoshniwal1,ritutoshniwal,e4 e5 Nf3 d6 Bc4 f6 c3 Ne7 d4 Nbc6 d5 Na5 Bd3 Bg4 b4 c5 bxa5 Qxa5 Bd2 b5 c4 b4 h3 Bh5 g4 Bg6 a3 Qb6 axb4 cxb4 Qa4+ Kf7 h4 h5 g5 f5 exf5 Nxf5 Bxf5 Bxf5 Bxb4 Be4 Nbd2 a5 Qd7+ Kg6 Qe6+ Kh7 g6+ Bxg6 Ng5+ Kh6 Nf7+ Kh7 Nxh8 Kxh8 Qxg6 Qxb4 Qxh5+ Kg8 Qg5 Qb2 Rb1 Qc2 h5 a4 h6 a3 hxg7 Bxg7 Rg1 Ra7 Rb8+ Kf7 Qxg7#
35,myWfydjo,ANONYMOUS,ruchitoshniwal1,ruchitoshniwal1,h4 e5 Nc3 Nf6 Nf3 Bc5 Nxe5 O-O g3 d6 Bh3 Qe7 Nf3 Nc6 O-O Ne5 b3 Nxf3+ Kh1 Ng4 exf3 h6 Kg1 Nh2 Kxh2 Bxh3 Kxh3 Rfe8 Re1 Qf6 Rxe8+ Rxe8 Na4 Qe6+ Kg2 Qg6 d3 Bd4 Rb1 b5 Bb2 Bxb2 Nxb2 Re6 Qg1 f5 Re1 Rf6 c3 f4 Qh2 fxg3 Qg1 gxf2+ Kxf2 Qf5 Nd1 Qxf3#
36,vzfgEs62,ANONYMOUS,ruchitoshniwal1,ANONYMOUS,e4 e5 Nf3 d6 d4 Qd7 d5 c6 c4 cxd5 cxd5 Qc7 Bd3 Qa5+ Nbd2 Bd7 a3 Qa4 b3 Qa6 Bxa6
37,gLS5BaEh,Arpitakabra1,ruchitoshniwal1,Arpitakabra1,e4 e5 Nf3 d6 Bc4 f5 d3 b6 Nc3 Bb7 O-O Qf6 exf5 Qxf5 Nh4 Qd7 f3 g5 Bxg5 Qg7 Ne4 Qd7 Bh6 Bxh6 f4 exf4 Qh5+ Kd8 Bxg8 Rxg8 Qxh6 Re8 Nf6 Qc6 Nxe8 Kxe8 Rxf4 Nd7 Re1+
38,H2j8ElLM,ruchitoshniwal1,Arpitakabra1,Arpitakabra1,e4 e5 f3 Nf6 Nh3 d5 Nc3 d4 Nd5 Nxd5 exd5 Qxd5 b3 b5 a4 Nc6 axb5 Nb4 Bc4 Qc5 c3 dxc3 dxc3 Nc6 Ra4 Ne7 b4 Qxc4 Rf1 Qxb5 Ra2 Nf5 Rd2 Ba6 Kf2 Qa4 Qxa4+
39,gl50quza,Arpitakabra1,ruchitoshniwal1,ruchitoshniwal1,e4 c5 Nc3 Nc6 Nf3 d6 d4 cxd4 Nxd4 Nf6 Bb5 Bd7 Bg5 h6 Bf4 e5 Nxc6 bxc6 Be3 cxb5 b4 Be7 O-O O-O Re1 Bc6 Qf3 d5 exd5 Nxd5 Ne4 Nxe3 fxe3 Bxb4 Red1 Qb6 Nf6+ gxf6 Qxf6 Qxe3+ Kf1 Bxg2+ Kxg2 Qe2+ Kg3 Be1+ Kh3 Qf1+ Qxf1 Kh7 Rxe1 Rg8 Rxe5 Rg6 Qxf7+ Rg7 Qf5+ Rg6 Re6 Rg8 Qf7+ R6g7 Rg1 Rxf7 Rgg6 Rxg6
